"Name","Year","Rating","Runtime","Genre","Number_of_Votes"
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,"8.1",87,"Animation, Action, Drama            ",50390
"Lagaan: Once Upon a Time in India",2001,"8.1",224,"Drama, Musical, Sport            ",110876
"The Sixth Sense",1999,"8.1",107,"Drama, Mystery, Thriller            ",957710
"Festen",1998,"8.1",105,"Drama            ",84834
"La leggenda del pianista sull'oceano",1998,"8.1",169,"Drama, Music, Romance            ",62601
"The Truman Show",1998,"8.1",103,"Comedy, Drama            ",1016495
"Crna macka, beli macor",1998,"8.1",127,"Comedy, Crime, Romance            ",52990
"The Big Lebowski",1998,"8.1",117,"Comedy, Crime, Sport            ",780954
"Fa Yeung Nin Wah",2000,"8.1",98,"Drama, Romance            ",141947
"Trainspotting",1996,"8.1",93,"Drama            ",666548
"Fargo",1996,"8.1",98,"Crime, Thriller            ",655846
"Underground",1995,"8.1",170,"Comedy, Drama, Fantasy            ",57575
"La haine",1995,"8.1",98,"Crime, Drama            ",164948
"Dilwale Dulhania Le Jayenge",1995,"8.1",189,"Drama, Romance            ",67471
"Before Sunrise",1995,"8.1",101,"Drama, Romance            ",293710
"Trois couleurs: Rouge",1994,"8.1",99,"Drama, Mystery, Romance            ",100312
"Chung Hing sam lam",1994,"8.1",102,"Comedy, Crime, Drama            ",75200
"Andaz Apna Apna",1994,"8.1",160,"Action, Comedy, Romance            ",52435
"Jurassic Park",1993,"8.1",127,"Action, Adventure, Sci-Fi            ",930400
"In the Name of the Father",1993,"8.1",133,"Biography, Crime, Drama            ",169153
"Ba wang bie ji",1993,"8.1",171,"Drama, History, Music            ",27544
"Da hong deng long gao gao gua",1991,"8.1",125,"Drama, History, Romance            ",31793
"Dom za vesanje",1988,"8.1",142,"Comedy, Crime, Drama            ",30054
"Dead Poets Society",1989,"8.1",128,"Comedy, Drama            ",462516
"The Princess Bride",1987,"8.1",98,"Adventure, Family, Fantasy            ",417093
"Stand by Me",1986,"8.1",89,"Adventure, Drama            ",387287
"Platoon",1986,"8.1",120,"Drama, War            ",401807
"Paris, Texas",1984,"8.1",145,"Drama            ",102132
